Term,Occurrences,Files,Category
crazy,1,1,ABLEIST LANGUAGE
sane,2,2,ABLEIST LANGUAGE
insane,1,1,ABLEIST LANGUAGE
blind,1,1,ABLEIST LANGUAGE
dumb,4,4,ABLEIST LANGUAGE
sanity check,4,2,ABLEIST LANGUAGE
dummy,2,1,ABLEIST LANGUAGE
mad,56,22,ABLEIST LANGUAGE
gimp,1,1,ABLEIST LANGUAGE
mans,2,2,GENDERED LANGUAGE
hang,1037,94,VIOLENT LANGUAGE
hung,6,2,VIOLENT LANGUAGE
hit,64,33,VIOLENT LANGUAGE
abort,1,1,VIOLENT LANGUAGE
kill,4,3,VIOLENT LANGUAGE
terminate,4,1,VIOLENT LANGUAGE
native,12,8,RACIALLY CHARGED LANGUAGE
master,23,4,RACIALLY CHARGED LANGUAGE
primitive,2,2,RACIALLY CHARGED LANGUAGE
normal,118,41,BIASED LANGUAGE
sick,1,1,BIASED LANGUAGE
disabled,8,6,BIASED LANGUAGE
special,6,3,BIASED LANGUAGE
fat,26,7,OTHER
lame,6,3,OTHER
