Term,Occurrences,Files,Category
crazy,3,2,ABLEIST LANGUAGE
sane,1,1,ABLEIST LANGUAGE
insane,1,1,ABLEIST LANGUAGE
blind,36,12,ABLEIST LANGUAGE
cripple,27,10,ABLEIST LANGUAGE
dummy,3,1,ABLEIST LANGUAGE
mad,8,7,ABLEIST LANGUAGE
lunatic,1,1,ABLEIST LANGUAGE
mans,7,3,GENDERED LANGUAGE
hang,39,10,VIOLENT LANGUAGE
hung,87,16,VIOLENT LANGUAGE
hit,88,36,VIOLENT LANGUAGE
kill,251,92,VIOLENT LANGUAGE
terminate,4,1,VIOLENT LANGUAGE
seniors,4,2,AGEIST LANGUAGE
native,32,6,RACIALLY CHARGED LANGUAGE
master,75,15,RACIALLY CHARGED LANGUAGE
slave,1,1,RACIALLY CHARGED LANGUAGE
normal,74,41,BIASED LANGUAGE
healthy,3,1,BIASED LANGUAGE
disabled,4,2,BIASED LANGUAGE
special,65,12,BIASED LANGUAGE
outpost,1,1,MILITARY LANGUAGE
lame,53,22,OTHER
