Term,Occurrences,Files,Category
blind,1,1,ABLEIST LANGUAGE
dummy,1,1,ABLEIST LANGUAGE
mad,17,12,ABLEIST LANGUAGE
hang,257,56,VIOLENT LANGUAGE
hit,61,26,VIOLENT LANGUAGE
abort,12,3,VIOLENT LANGUAGE
kill,73,10,VIOLENT LANGUAGE
terminate,2,2,VIOLENT LANGUAGE
native,145,21,RACIALLY CHARGED LANGUAGE
master,29,10,RACIALLY CHARGED LANGUAGE
slave,1,1,RACIALLY CHARGED LANGUAGE
primitive,10,2,RACIALLY CHARGED LANGUAGE
normal,83,26,BIASED LANGUAGE
disabled,104,26,BIASED LANGUAGE
special,169,17,BIASED LANGUAGE
fat,2,2,OTHER
